"OrderID","ProductID","UnitPrice","Quantity","Discount"
"10278","63","35.1","8","0.00"
"10278","73","12","25","0.00"
"10279","17","31.2","15","0.25"
"10280","24","3.6","12","0.00"
"10280","55","19.2","20","0.00"
"10280","75","6.2","30","0.00"
"10281","19","7.3","1","0.00"
"10281","24","3.6","6","0.00"
"10281","35","14.4","4","0.00"
"10282","30","20.7","6","0.00"
"10282","57","15.6","2","0.00"
"10283","15","12.4","20","0.00"
"10283","19","7.3","18","0.00"
"10283","60","27.2","35","0.00"
"10283","72","27.8","3","0.00"
"10284","27","35.1","15","0.25"
"10284","44","15.5","21","0.00"
"10284","60","27.2","20","0.25"
"10284","67","11.2","5","0.25"
"10285","1","14.4","45","0.20"
"10285","40","14.7","40","0.20"
"10285","53","26.2","36","0.20"
"10286","35","14.4","100","0.00"
"10286","62","39.4","40","0.00"
"10287","16","13.9","40","0.15"
"10287","34","11.2","20","0.00"
"10287","46","9.6","15","0.15"
"10288","54","5.9","10","0.10"
"10288","68","10","3","0.10"
"10289","3","8","30","0.00"
"10289","64","26.6","9","0.00"
"10290","5","17","20","0.00"
"10290","29","99","15","0.00"
"10290","49","16","15","0.00"
"10290","77","10.4","10","0.00"
"10291","13","4.8","20","0.10"
"10291","44","15.5","24","0.10"
"10291","51","42.4","2","0.10"
"10292","20","64.8","20","0.00"
"10293","18","50","12","0.00"
"10293","24","3.6","10","0.00"
"10293","63","35.1","5","0.00"
"10293","75","6.2","6","0.00"
"10294","1","14.4","18","0.00"
"10294","17","31.2","15","0.00"
"10294","43","36.8","15","0.00"
"10294","60","27.2","21","0.00"
"10294","75","6.2","6","0.00"
"10295","56","30.4","4","0.00"
"10296","11","16.8","12","0.00"
"10296","16","13.9","30","0.00"
"10296","69","28.8","15","0.00"
"10297","39","14.4","60","0.00"
"10297","72","27.8","20","0.00"
"10298","2","15.2","40","0.00"
"10298","36","15.2","40","0.25"
"10298","59","44","30","0.25"
"10298","62","39.4","15","0.00"
"10299","19","7.3","15","0.00"
"10299","70","12","20","0.00"
"10300","66","13.6","30","0.00"
"10300","68","10","20","0.00"
"10301","40","14.7","10","0.00"
"10301","56","30.4","20","0.00"
"10302","17","31.2","40","0.00"
"10302","28","36.4","28","0.00"
"10302","43","36.8","12","0.00"
"10303","40","14.7","40","0.10"
"10303","65","16.8","30","0.10"
"10303","68","10","15","0.10"
"10304","49","16","30","0.00"
"10304","59","44","10","0.00"
"10304","71","17.2","2","0.00"
"10305","18","50","25","0.10"
"10305","29","99","25","0.10"
"10305","39","14.4","30","0.10"
"10306","30","20.7","10","0.00"
"10306","53","26.2","10","0.00"
"10306","54","5.9","5","0.00"
"10307","62","39.4","10","0.00"
"10307","68","10","3","0.00"
"10308","69","28.8","1","0.00"
"10308","70","12","5","0.00"
"10309","4","17.6","20","0.00"
"10309","6","20","30","0.00"
"10309","42","11.2","2","0.00"
"10309","43","36.8","20","0.00"
"10309","71","17.2","3","0.00"
"10310","16","13.9","10","0.00"
"10310","62","39.4","5","0.00"
"10311","42","11.2","6","0.00"
"10311","69","28.8","7","0.00"
"10312","28","36.4","4","0.00"
"10312","43","36.8","24","0.00"
"10312","53","26.2","20","0.00"
"10312","75","6.2","10","0.00"
"10313","36","15.2","12","0.00"
"10314","32","25.6","40","0.10"
"10314","58","10.6","30","0.10"
"10314","62","39.4","25","0.10"
"10315","34","11.2","14","0.00"
"10315","70","12","30","0.00"
"10316","41","7.7","10","0.00"
"10316","62","39.4","70","0.00"
"10317","1","14.4","20","0.00"
"10318","41","7.7","20","0.00"
"10318","76","14.4","6","0.00"
"10319","17","31.2","8","0.00"
"10319","28","36.4","14","0.00"
"10319","76","14.4","30","0.00"
"10320","71","17.2","30","0.00"
"10321","35","14.4","10","0.00"
"10322","52","5.6","20","0.00"
"10323","15","12.4","5","0.00"
"10323","25","11.2","4","0.00"
"10323","39","14.4","4","0.00"
"10324","16","13.9","21","0.15"
"10324","35","14.4","70","0.15"
"10324","46","9.6","30","0.00"
"10324","59","44","40","0.15"
"10324","63","35.1","80","0.15"
"10325","6","20","6","0.00"
"10325","13","4.8","12","0.00"
"10325","14","18.6","9","0.00"
"10325","31","10","4","0.00"
"10325","72","27.8","40","0.00"
"10326","4","17.6","24","0.00"
"10326","57","15.6","16","0.00"
"10326","75","6.2","50","0.00"
"10327","2","15.2","25","0.20"
"10327","11","16.8","50","0.20"
"10327","30","20.7","35","0.20"
"10327","58","10.6","30","0.20"
"10328","59","44","9","0.00"
"10328","65","16.8","40","0.00"
"10328","68","10","10","0.00"
"10329","19","7.3","10","0.05"
"10329","30","20.7","8","0.05"
"10329","38","210.8","20","0.05"
"10329","56","30.4","12","0.05"
"10330","26","24.9","50","0.15"
"10330","72","27.8","25","0.15"
"10331","54","5.9","15","0.00"
"10332","18","50","40","0.20"
"10332","42","11.2","10","0.20"
"10332","47","7.6","16","0.20"
"10333","14","18.6","10","0.00"
"10333","21","8","10","0.10"
"10333","71","17.2","40","0.10"
"10334","52","5.6","8","0.00"
"10334","68","10","10","0.00"
"10335","2","15.2","7","0.20"
"10335","31","10","25","0.20"
"10335","32","25.6","6","0.20"
"10335","51","42.4","48","0.20"
"10336","4","17.6","18","0.10"
"10337","23","7.2","40","0.00"
"10337","26","24.9","24","0.00"
"10337","36","15.2","20","0.00"
"10337","37","20.8","28","0.00"
"10337","72","27.8","25","0.00"
"10338","17","31.2","20","0.00"
"10338","30","20.7","15","0.00"
"10339","4","17.6","10","0.00"
"10339","17","31.2","70","0.05"
"10339","62","39.4","28","0.00"
"10340","18","50","20","0.05"
"10340","41","7.7","12","0.05"
"10340","43","36.8","40","0.05"
"10341","33","2","8","0.00"
"10341","59","44","9","0.15"
"10342","2","15.2","24","0.20"
"10342","31","10","56","0.20"
"10342","36","15.2","40","0.20"
"10342","55","19.2","40","0.20"
"10343","64","26.6","50","0.00"
"10343","68","10","4","0.05"
"10343","76","14.4","15","0.00"
"10344","4","17.6","35","0.00"
"10344","8","32","70","0.25"
"10345","8","32","70","0.00"
"10345","19","7.3","80","0.00"
"10345","42","11.2","9","0.00"
"10346","17","31.2","36","0.10"
"10346","56","30.4","20","0.00"
"10347","25","11.2","10","0.00"
"10347","39","14.4","50","0.15"
"10347","40","14.7","4","0.00"
"10347","75","6.2","6","0.15"
"10348","1","14.4","15","0.15"
"10348","23","7.2","25","0.00"
"10349","54","5.9","24","0.00"
"10350","50","13","15","0.10"
"10350","69","28.8","18","0.10"
"10351","38","210.8","20","0.05"
"10351","41","7.7","13","0.00"
"10351","44","15.5","77","0.05"
"10351","65","16.8","10","0.05"
"10352","24","3.6","10","0.00"
"10352","54","5.9","20","0.15"
"10353","11","16.8","12","0.20"
"10353","38","210.8","50","0.20"
"10354","1","14.4","12","0.00"
"10354","29","99","4","0.00"
"10355","24","3.6","25","0.00"
"10355","57","15.6","25","0.00"
"10356","31","10","30","0.00"
"10356","55","19.2","12","0.00"
"10356","69","28.8","20","0.00"
"10357","10","24.8","30","0.20"
"10357","26","24.9","16","0.00"
"10357","60","27.2","8","0.20"
"10358","24","3.6","10","0.05"
"10358","34","11.2","10","0.05"
"10358","36","15.2","20","0.05"
"10359","16","13.9","56","0.05"
"10359","31","10","70","0.05"
"10359","60","27.2","80","0.05"
"10360","28","36.4","30","0.00"
"10360","29","99","35","0.00"
"10360","38","210.8","10","0.00"
"10360","49","16","35","0.00"
"10360","54","5.9","28","0.00"
"10361","39","14.4","54","0.10"
"10361","60","27.2","55","0.10"
"10362","25","11.2","50","0.00"
"10362","51","42.4","20","0.00"
"10362","54","5.9","24","0.00"
"10363","31","10","20","0.00"
"10363","75","6.2","12","0.00"
"10363","76","14.4","12","0.00"
"10364","69","28.8","30","0.00"
"10364","71","17.2","5","0.00"
"10365","11","16.8","24","0.00"
"10366","65","16.8","5","0.00"
"10366","77","10.4","5","0.00"
"10367","34","11.2","36","0.00"
"10367","54","5.9","18","0.00"
"10367","65","16.8","15","0.00"
"10367","77","10.4","7","0.00"
"10368","21","8","5","0.10"
"10368","28","36.4","13","0.10"
"10368","57","15.6","25","0.00"
"10368","64","26.6","35","0.10"
"10369","29","99","20","0.00"
"10369","56","30.4","18","0.25"
"10370","1","14.4","15","0.15"
"10370","64","26.6","30","0.00"
"10370","74","8","20","0.15"
"10371","36","15.2","6","0.20"
"10372","20","64.8","12","0.25"
"10372","38","210.8","40","0.25"
"10372","60","27.2","70","0.25"
"10372","72","27.8","42","0.25"
"10373","58","10.6","80","0.20"
"10373","71","17.2","50","0.20"
"10374","31","10","30","0.00"
"10374","58","10.6","15","0.00"
"10375","14","18.6","15","0.00"
"10375","54","5.9","10","0.00"
"10376","31","10","42","0.05"
"10377","28","36.4","20","0.15"
"10377","39","14.4","20","0.15"
"10378","71","17.2","6","0.00"
"10379","41","7.7","8","0.10"
"10379","63","35.1","16","0.10"
"10379","65","16.8","20","0.10"
"10380","30","20.7","18","0.10"
"10380","53","26.2","20","0.10"
"10380","60","27.2","6","0.10"
"10380","70","12","30","0.00"
"10381","74","8","14","0.00"
"10382","5","17","32","0.00"
"10382","18","50","9","0.00"
"10382","29","99","14","0.00"
"10382","33","2","60","0.00"
"10382","74","8","50","0.00"
"10383","13","4.8","20","0.00"
"10383","50","13","15","0.00"
"10383","56","30.4","20","0.00"
"10384","20","64.8","28","0.00"
"10384","60","27.2","15","0.00"
"10385","7","24","10","0.20"
"10385","60","27.2","20","0.20"
"10385","68","10","8","0.20"
"10386","24","3.6","15","0.00"
"10386","34","11.2","10","0.00"
"10387","24","3.6","15","0.00"
"10387","28","36.4","6","0.00"
"10387","59","44","12","0.00"
"10387","71","17.2","15","0.00"
"10388","45","7.6","15","0.20"
"10388","52","5.6","20","0.20"
"10388","53","26.2","40","0.00"
"10389","10","24.8","16","0.00"
"10389","55","19.2","15","0.00"
"10389","62","39.4","20","0.00"
"10389","70","12","30","0.00"
"10390","31","10","60","0.10"
"10390","35","14.4","40","0.10"
"10390","46","9.6","45","0.00"
"10390","72","27.8","24","0.10"
"10391","13","4.8","18","0.00"
"10392","69","28.8","50","0.00"
"10393","2","15.2","25","0.25"
"10393","14","18.6","42","0.25"
"10393","25","11.2","7","0.25"
"10393","26","24.9","70","0.25"
"10393","31","10","32","0.00"
"10394","13","4.8","10","0.00"
"10394","62","39.4","10","0.00"
"10395","46","9.6","28","0.10"
"10395","53","26.2","70","0.10"
"10395","69","28.8","8","0.00"
"10396","23","7.2","40","0.00"
"10396","71","17.2","60","0.00"
"10396","72","27.8","21","0.00"
"10397","21","8","10","0.15"
"10397","51","42.4","18","0.15"
"10398","35","14.4","30","0.00"
"10398","55","19.2","120","0.10"
"10399","68","10","60","0.00"
"10399","71","17.2","30","0.00"
"10399","76","14.4","35","0.00"
"10399","77","10.4","14","0.00"
"10400","29","99","21","0.00"
"10400","35","14.4","35","0.00"
"10400","49","16","30","0.00"
"10401","30","20.7","18","0.00"
"10401","56","30.4","70","0.00"
"10401","65","16.8","20","0.00"
"10401","71","17.2","60","0.00"
"10402","23","7.2","60","0.00"
"10402","63","35.1","65","0.00"
"10403","16","13.9","21","0.15"
"10403","48","10.2","70","0.15"
"10404","26","24.9","30","0.05"
"10404","42","11.2","40","0.05"
"10404","49","16","30","0.05"
"10405","3","8","50","0.00"
"10406","1","14.4","10","0.00"
"10406","21","8","30","0.10"
"10406","28","36.4","42","0.10"
"10406","36","15.2","5","0.10"
"10406","40","14.7","2","0.10"
"10407","11","16.8","30","0.00"
"10407","69","28.8","15","0.00"
"10407","71","17.2","15","0.00"
"10408","37","20.8","10","0.00"
"10408","54","5.9","6","0.00"
"10408","62","39.4","35","0.00"
"10409","14","18.6","12","0.00"
"10409","21","8","12","0.00"
"10410","33","2","49","0.00"
"10410","59","44","16","0.00"
"10411","41","7.7","25","0.20"
"10411","44","15.5","40","0.20"
"10411","59","44","9","0.20"
"10412","14","18.6","20","0.10"
"10413","1","14.4","24","0.00"
"10413","62","39.4","40","0.00"
"10413","76","14.4","14","0.00"
"10414","19","7.3","18","0.05"
"10414","33","2","50","0.00"
"10415","17","31.2","2","0.00"
"10415","33","2","20","0.00"
"10416","19","7.3","20","0.00"
"10416","53","26.2","10","0.00"
"10416","57","15.6","20","0.00"
"10417","38","210.8","50","0.00"
"10417","46","9.6","2","0.25"
"10417","68","10","36","0.25"
"10417","77","10.4","35","0.00"
"10418","2","15.2","60","0.00"
"10418","47","7.6","55","0.00"
"10418","61","22.8","16","0.00"
"10418","74","8","15","0.00"
"10419","60","27.2","60","0.05"
"10419","69","28.8","20","0.05"
"10420","9","77.6","20","0.10"
"10420","13","4.8","2","0.10"
"10420","70","12","8","0.10"
"10420","73","12","20","0.10"
"10421","19","7.3","4","0.15"
"10421","26","24.9","30","0.00"
"10421","53","26.2","15","0.15"
"10421","77","10.4","10","0.15"
"10422","26","24.9","2","0.00"
"10423","31","10","14","0.00"
"10423","59","44","20","0.00"
"10424","35","14.4","60","0.20"
"10424","38","210.8","49","0.20"
"10424","68","10","30","0.20"
"10425","55","19.2","10","0.25"
"10425","76","14.4","20","0.25"
"10426","56","30.4","5","0.00"
"10426","64","26.6","7","0.00"
"10427","14","18.6","35","0.00"
"10428","46","9.6","20","0.00"
"10429","50","13","40","0.00"
"10429","63","35.1","35","0.25"
"10430","17","31.2","45","0.20"
"10430","21","8","50","0.00"
"10430","56","30.4","30","0.00"
"10430","59","44","70","0.20"
"10431","17","31.2","50","0.25"
"10431","40","14.7","50","0.25"
"10431","47","7.6","30","0.25"
"10432","26","24.9","10","0.00"
"10432","54","5.9","40","0.00"
"10433","56","30.4","28","0.00"
"10434","11","16.8","6","0.00"
"10434","76","14.4","18","0.15"
"10435","2","15.2","10","0.00"
"10435","22","16.8","12","0.00"
"10435","72","27.8","10","0.00"
"10436","46","9.6","5","0.00"
"10436","56","30.4","40","0.10"
"10436","64","26.6","30","0.10"
"10436","75","6.2","24","0.10"
"10437","53","26.2","15","0.00"
"10438","19","7.3","15","0.20"
"10438","34","11.2","20","0.20"
"10438","57","15.6","15","0.20"
"10439","12","30.4","15","0.00"
"10439","16","13.9","16","0.00"
"10439","64","26.6","6","0.00"
"10439","74","8","30","0.00"
"10440","2","15.2","45","0.15"
"10440","16","13.9","49","0.15"
"10440","29","99","24","0.15"
"10440","61","22.8","90","0.15"
"10441","27","35.1","50","0.00"
"10442","11","16.8","30","0.00"
"10442","54","5.9","80","0.00"
"10442","66","13.6","60","0.00"
"10443","11","16.8","6","0.20"
"10443","28","36.4","12","0.00"
"10444","17","31.2","10","0.00"
"10444","26","24.9","15","0.00"
"10444","35","14.4","8","0.00"
"10444","41","7.7","30","0.00"
"10445","39","14.4","6","0.00"
"10445","54","5.9","15","0.00"
"10446","19","7.3","12","0.10"
"10446","24","3.6","20","0.10"
"10446","31","10","3","0.10"
"10446","52","5.6","15","0.10"
